pattern_id,group_name,pattern_name,route_text,train_type
IS01,경부선,경부선(서울-부산),서울-부산,ITX-새마을
IS02,경전선,경전선(서울-진주),서울-진주,ITX-새마을
IS03,호남선,호남선(용산-목포),용산-목포,ITX-새마을
IS04,호남선,호남선(용산-광주),용산-광주,ITX-새마을
IS05,전라선,전라선(용산-여수엑스포),용산-여수엑스포,ITX-새마을
