station_id,station_name
C01,용산
C02,옥수
C03,왕십리
C04,청량리
C05,상봉
C06,퇴계원
C07,사릉
C08,평내호평
C09,마석
C10,청평
C11,가평
C12,백양리
C13,강촌
C14,남춘천
C15,춘천
